retention,area
8.094,86144
8.102,103025
8.109,103964
8.116,98168
8.123,96066
8.131,96253
8.138,92305
8.145,90895
8.153,87898
8.16,99833
8.167,102192
8.175,102461
8.182,89362
8.189,89624
8.197,85664
8.204,108057
8.211,106461
8.219,105305
8.226,102856
8.233,77260
8.241,83175
8.248,81174
8.255,77162
8.263,76845
8.27,77066
8.277,70609
8.285,76657
8.292,73151
8.299,76429
8.307,76619
8.314,88513
8.321,99049
8.329,86375
8.336,80231
8.343,104448
8.35,121319
8.358,122027
8.365,112108
8.372,104929
8.38,104117
8.387,90806
8.394,84878
8.402,91852
8.409,88633
8.416,102316
8.424,117144
8.431,203064
8.438,398778
8.446,726222
8.453,819844
8.46,632772
8.468,464914
8.475,390269
8.482,280099
8.49,271576
8.497,242920
8.504,213503
8.512,181847
8.519,164193
8.526,154009
8.534,143802
8.541,130570
8.548,120658
8.555,110918
8.563,122603
8.57,150517
8.577,162940
8.585,151032
8.592,159070
8.599,140614
8.607,134973
8.614,126989
8.621,123622
8.629,131142
8.636,145630
8.643,143896
8.651,128540
8.658,107310
8.665,104952
8.673,109532
8.68,123705
8.687,231048
8.695,582010
8.702,1037689
8.709,1395495
8.717,1274265
8.724,783520
8.731,522185
8.739,384290
8.746,316861
8.753,279051
8.761,244656
8.768,192411
8.775,209522
8.782,181151
8.79,166807
8.797,153945
8.804,141315
8.812,132463
8.819,150265
8.826,142240
8.834,177885
8.841,168131
8.848,162953
8.856,161219
8.863,135769
8.87,128802
8.878,106334
8.885,107031
8.892,108105
8.9,107930
8.907,109652
8.914,144242
8.922,264748
8.929,535380
8.936,950203
8.944,1097582
8.951,853093
8.958,553960
8.966,378878
8.973,333698
8.98,336503
8.987,339384
8.995,355525
9.002,345370
9.009,270418
9.017,223490
9.024,190294
9.031,188404
9.039,158545
9.046,166730
9.053,146860
9.061,137552
9.068,128161
9.075,114540
9.083,115980
9.09,105419
9.097,105641
9.105,100079
9.112,106814
9.119,106141
9.127,97262
9.134,95256
9.141,114907
9.149,92591
9.156,102796
9.163,95963
9.171,103044
9.178,103973
9.185,113687
9.193,107766
9.2,108911
9.207,113720
9.214,119111
9.222,113713
9.229,113174
9.236,108655
9.244,88947
9.251,88689
9.258,98084
9.266,94244
9.273,95923
9.28,107418
9.288,110204
9.295,109900
9.302,93262
9.31,97046
9.317,96978
9.324,91422
9.332,99909
9.339,92784
9.346,97405
9.354,103264
