Sample No.,Location/house pit No.,Part 
SOS030,Area La /No. 14,Body
SOS031,Area La /No. 4,Body
SOS032,Area La /No. 4,Rim
SOS033,Area La /No. 4,Rim
SOS034,Area Ga /No. 7,Body
SOS035,Area Ga /No. 10,Body
SOS036,Area Ga /No. 10,Body
SOS037,Area Ga /No. 14,Body
SOS038,Area Ga /No. 14,Body
SOS039,Area La /No. 11,Rim
SOS040,Area La /No. 11,Body
SOS041,Area La /No. 11,Body
SOS042,Area Ga /No. 23,Body
SOS043,Area Ga /No. 23,Body
SOS044,Area Ga /No. 24,Body
SOS045,Area Ga /No. 24,Body
SOS046,Area Ga /No. 25,Body
SOS047,Area Ga /No. 25,Body
SOS048,Area La /No. 15,Rim
SOS049,Area La /No. 15,Rim
SOS050,Area La /No. 15,Rim
SOS051,Area La /No. 2,Body
SOS052,Area La /No. 2,Body
SOS053,Area La /No. 5,Body
SOS054,Area La /No. 5,Body
SOS055,Area La /No. 10,Body
SOS056,Area La /No. 10,Rim
SOS057,Area La /No. 19,Body
SOS058,Area La /No. 19,Body
SOS059,Area La /No. 18,Body
SOS060,Area La /No. 18,Body
SOS061,Area La /No. 31,Body
SOS062,Area La /No. 31,Body
SOS063,Area La /No. 31,Body
SOS064,Area La /No. 32,Body
SOS065,Area La /No. 32,Body
SOS066,Area La /No. 36,Body
